




# Raster output (t, lif_no, isi)
100003 5 1.000030
100103 20 1.001030
100503 6 1.005030
100603 21 1.006030
101003 7 1.010030
101103 22 1.011030
101503 8 1.015030
101603 23 1.016030
102003 9 1.020030
102103 24 1.021030
102503 10 1.025030
102603 25 1.026030
103003 11 1.030030
103103 26 1.031030
103503 12 1.035030
103603 27 1.036030
104003 13 1.040030
104103 28 1.041030
104503 14 1.045030
104603 29 1.046030
105003 15 1.050030
105103 30 1.051030
105503 16 1.055030
105603 31 1.056030
106003 17 1.060030
106103 32 1.061030
106503 18 1.065030
106603 33 1.066030
107003 19 1.070030
107103 34 1.071030
107503 20 0.074000
107603 35 1.076030
108003 21 0.074000
108103 36 1.081030
108503 22 0.074000
108603 37 1.086030
109003 23 0.074000
109103 38 1.091030
109503 24 0.074000
109603 39 1.096030
110003 25 0.074000
110103 40 1.101030
110503 26 0.074000
110603 41 1.106030
111003 27 0.074000
111103 42 1.111030
111503 28 0.074000
111603 43 1.116030
112003 29 0.074000
112103 44 1.121030
112503 30 0.074000
112603 45 1.126030
113003 31 0.074000
113103 46 1.131030
113503 32 0.074000
113603 47 1.136030
114003 33 0.074000
114103 48 1.141030
114503 34 0.074000
114603 49 1.146030
200003 5 1.000000
200103 20 0.926000
200503 6 1.000000
200603 21 0.926000
201003 7 1.000000
201103 22 0.926000
201503 8 1.000000
201603 23 0.926000
202003 9 1.000000
202103 24 0.926000
202503 10 1.000000
202603 25 0.926000
203003 11 1.000000
203103 26 0.926000
203503 12 1.000000
203603 27 0.926000
204003 13 1.000000
204103 28 0.926000
204503 14 1.000000
204603 29 0.926000
205003 15 1.000000
205103 30 0.926000
205503 16 1.000000
205603 31 0.926000
206003 17 1.000000
206103 32 0.926000
206503 18 1.000000
206603 33 0.926000
207003 19 1.000000
207103 34 0.926000
207503 20 0.074000
207603 35 1.000000
208003 21 0.074000
208103 36 1.000000
208503 22 0.074000
208603 37 1.000000
209003 23 0.074000
209103 38 1.000000
209503 24 0.074000
209603 39 1.000000
210003 25 0.074000
210103 40 1.000000
210503 26 0.074000
210603 41 1.000000
211003 27 0.074000
211103 42 1.000000
211503 28 0.074000
211603 43 1.000000
212003 29 0.074000
212103 44 1.000000
212503 30 0.074000
212603 45 1.000000
213003 31 0.074000
213103 46 1.000000
213503 32 0.074000
213603 47 1.000000
214003 33 0.074000
214103 48 1.000000
214503 34 0.074000
214603 49 1.000000
300003 5 1.000000
300103 20 0.926000
300503 6 1.000000
300603 21 0.926000
301003 7 1.000000
301103 22 0.926000
301503 8 1.000000
301603 23 0.926000
302003 9 1.000000
302103 24 0.926000
302503 10 1.000000
